vehicle_id,role,vehicle_type,steps,distance_km,total_load_kg,cost,utilization_pct,end_time
3,Outbound,Medium,"[{'id': 'WAREHOUSE', 'lat': 31.2304, 'lon': 121.4737, 'arrival_time_min': 0, 'arrival_time_fmt': '00:00', 'type': 'DEPOT'}, {'id': '607', 'lat': 31.24848284727317, 'lon': 121.47216505004067, 'arrival_time_min': 406, 'arrival_time_fmt': '06:46', 'type': 'STORE'}, {'id': '557', 'lat': 31.2774624856211, 'lon': 121.47877680147484, 'arrival_time_min': 432, 'arrival_time_fmt': '07:12', 'type': 'STORE'}, {'id': '556', 'lat': 31.272625776644418, 'lon': 121.49809409621403, 'arrival_time_min': 455, 'arrival_time_fmt': '07:35', 'type': 'STORE'}, {'id': '564', 'lat': 31.272113215214215, 'lon': 121.51635070881416, 'arrival_time_min': 478, 'arrival_time_fmt': '07:58', 'type': 'STORE'}, {'id': '356', 'lat': 31.233610825304027, 'lon': 121.48363552709561, 'arrival_time_min': 508, 'arrival_time_fmt': '08:28', 'type': 'STORE'}, {'id': '182', 'lat': 31.220946470757262, 'lon': 121.47503133155386, 'arrival_time_min': 531, 'arrival_time_fmt': '08:51', 'type': 'STORE'}, {'id': 'WAREHOUSE', 'lat': 31.2304, 'lon': 121.4737, 'arrival_time_min': 553, 'arrival_time_fmt': '09:13', 'type': 'DEPOT'}]",16.925,2674,513.54,89.1,553
4,Outbound,Medium,"[{'id': 'WAREHOUSE', 'lat': 31.2304, 'lon': 121.4737, 'arrival_time_min': 0, 'arrival_time_fmt': '00:00', 'type': 'DEPOT'}, {'id': '554', 'lat': 31.258682297433857, 'lon': 121.38410646810138, 'arrival_time_min': 387, 'arrival_time_fmt': '06:27', 'type': 'STORE'}, {'id': '118', 'lat': 31.284394145161862, 'lon': 121.3774052401649, 'arrival_time_min': 413, 'arrival_time_fmt': '06:53', 'type': 'STORE'}, {'id': '555', 'lat': 31.330572930153465, 'lon': 121.37491425941637, 'arrival_time_min': 443, 'arrival_time_fmt': '07:23', 'type': 'STORE'}, {'id': '75', 'lat': 31.344145720681855, 'lon': 121.45229523726286, 'arrival_time_min': 478, 'arrival_time_fmt': '07:58', 'type': 'STORE'}, {'id': '531', 'lat': 31.294167381452613, 'lon': 121.477936818996, 'arrival_time_min': 510, 'arrival_time_fmt': '08:30', 'type': 'STORE'}, {'id': '852', 'lat': 31.28805450104858, 'lon': 121.50021911409466, 'arrival_time_min': 534, 'arrival_time_fmt': '08:54', 'type': 'STORE'}, {'id': 'WAREHOUSE', 'lat': 31.2304, 'lon': 121.4737, 'arrival_time_min': 568, 'arrival_time_fmt': '09:28', 'type': 'DEPOT'}]",39.828,2594,531.8624,86.5,568
6,Outbound,Large,"[{'id': 'WAREHOUSE', 'lat': 31.2304, 'lon': 121.4737, 'arrival_time_min': 0, 'arrival_time_fmt': '00:00', 'type': 'DEPOT'}, {'id': '817', 'lat': 31.24391272279228, 'lon': 121.5469729854295, 'arrival_time_min': 388, 'arrival_time_fmt': '06:28', 'type': 'STORE'}, {'id': '704', 'lat': 31.275065173679376, 'lon': 121.54034730531698, 'arrival_time_min': 415, 'arrival_time_fmt': '06:55', 'type': 'STORE'}, {'id': '385', 'lat': 31.300973654590344, 'lon': 121.56982686695184, 'arrival_time_min': 443, 'arrival_time_fmt': '07:23', 'type': 'STORE'}, {'id': '822', 'lat': 31.268929344812104, 'lon': 121.55988372319551, 'arrival_time_min': 470, 'arrival_time_fmt': '07:50', 'type': 'STORE'}, {'id': '672', 'lat': 31.251293403926375, 'lon': 121.56651353423199, 'arrival_time_min': 494, 'arrival_time_fmt': '08:14', 'type': 'STORE'}, {'id': '343', 'lat': 31.240112212861334, 'lon': 121.62735103936001, 'arrival_time_min': 526, 'arrival_time_fmt': '08:46', 'type': 'STORE'}, {'id': '602', 'lat': 31.198352966184135, 'lon': 121.58047746801716, 'arrival_time_min': 559, 'arrival_time_fmt': '09:19', 'type': 'STORE'}, {'id': '102', 'lat': 31.21862287458244, 'lon': 121.55244994773348, 'arrival_time_min': 586, 'arrival_time_fmt': '09:46', 'type': 'STORE'}, {'id': 'WAREHOUSE', 'lat': 31.2304, 'lon': 121.4737, 'arrival_time_min': 621, 'arrival_time_fmt': '10:21', 'type': 'DEPOT'}]",43.851,4360,952.6212,54.5,621
7,Outbound,Large,"[{'id': 'WAREHOUSE', 'lat': 31.2304, 'lon': 121.4737, 'arrival_time_min': 0, 'arrival_time_fmt': '00:00', 'type': 'DEPOT'}, {'id': '572', 'lat': 31.1378483453592, 'lon': 121.37820572081122, 'arrival_time_min': 369, 'arrival_time_fmt': '06:09', 'type': 'STORE'}, {'id': '20', 'lat': 31.12791727173323, 'lon': 121.39894528007667, 'arrival_time_min': 393, 'arrival_time_fmt': '06:33', 'type': 'STORE'}, {'id': '577', 'lat': 31.116445188254932, 'lon': 121.39207692786486, 'arrival_time_min': 415, 'arrival_time_fmt': '06:55', 'type': 'STORE'}, {'id': '263', 'lat': 31.099218859955446, 'lon': 121.4555221713555, 'arrival_time_min': 448, 'arrival_time_fmt': '07:28', 'type': 'STORE'}, {'id': '517', 'lat': 31.14190158556936, 'lon': 121.448747894815, 'arrival_time_min': 477, 'arrival_time_fmt': '07:57', 'type': 'STORE'}, {'id': '148', 'lat': 31.148974533222063, 'lon': 121.47186474321249, 'arrival_time_min': 501, 'arrival_time_fmt': '08:21', 'type': 'STORE'}, {'id': '368', 'lat': 31.12177376650953, 'lon': 121.49479846974455, 'arrival_time_min': 528, 'arrival_time_fmt': '08:48', 'type': 'STORE'}, {'id': '485', 'lat': 31.174747153860654, 'lon': 121.55567134673356, 'arrival_time_min': 564, 'arrival_time_fmt': '09:24', 'type': 'STORE'}, {'id': '145', 'lat': 31.173454707881216, 'lon': 121.53597471668407, 'arrival_time_min': 587, 'arrival_time_fmt': '09:47', 'type': 'STORE'}, {'id': '458', 'lat': 31.190849634625177, 'lon': 121.5037263727763, 'arrival_time_min': 614, 'arrival_time_fmt': '10:14', 'type': 'STORE'}, {'id': 'WAREHOUSE', 'lat': 31.2304, 'lon': 121.4737, 'arrival_time_min': 644, 'arrival_time_fmt': '10:44', 'type': 'DEPOT'}]",53.62,5551,964.344,69.4,644
8,Outbound,Large,"[{'id': 'WAREHOUSE', 'lat': 31.2304, 'lon': 121.4737, 'arrival_time_min': 0, 'arrival_time_fmt': '00:00', 'type': 'DEPOT'}, {'id': '96', 'lat': 31.231040258222993, 'lon': 121.49306532494909, 'arrival_time_min': 388, 'arrival_time_fmt': '06:28', 'type': 'STORE'}, {'id': '197', 'lat': 31.219258931029852, 'lon': 121.5005309818126, 'arrival_time_min': 416, 'arrival_time_fmt': '06:56', 'type': 'STORE'}, {'id': '3', 'lat': 31.21060814399661, 'lon': 121.49470837783824, 'arrival_time_min': 438, 'arrival_time_fmt': '07:18', 'type': 'STORE'}, {'id': '167', 'lat': 31.219435742517966, 'lon': 121.47245450687987, 'arrival_time_min': 462, 'arrival_time_fmt': '07:42', 'type': 'STORE'}, {'id': '409', 'lat': 31.213789674214325, 'lon': 121.4714865613604, 'arrival_time_min': 483, 'arrival_time_fmt': '08:03', 'type': 'STORE'}, {'id': '235', 'lat': 31.189335851896118, 'lon': 121.44616457074372, 'arrival_time_min': 510, 'arrival_time_fmt': '08:30', 'type': 'STORE'}, {'id': '324', 'lat': 31.231037708542072, 'lon': 121.45123278445423, 'arrival_time_min': 539, 'arrival_time_fmt': '08:59', 'type': 'STORE'}, {'id': '417', 'lat': 31.23462418643734, 'lon': 121.43847433831554, 'arrival_time_min': 561, 'arrival_time_fmt': '09:21', 'type': 'STORE'}, {'id': '101', 'lat': 31.275694051934213, 'lon': 121.43776044978053, 'arrival_time_min': 590, 'arrival_time_fmt': '09:50', 'type': 'STORE'}, {'id': '442', 'lat': 31.25182996266275, 'lon': 121.44672934123288, 'arrival_time_min': 615, 'arrival_time_fmt': '10:15', 'type': 'STORE'}, {'id': 'WAREHOUSE', 'lat': 31.2304, 'lon': 121.4737, 'arrival_time_min': 642, 'arrival_time_fmt': '10:42', 'type': 'DEPOT'}]",27.831,5313,933.3972,66.4,642
