vehicle_id,role,vehicle_type,steps,distance_km,total_load_kg,cost,utilization_pct,end_time
27,Outbound,Large,"[{'id': 'WAREHOUSE', 'lat': 31.2304, 'lon': 121.4737, 'arrival_time_min': 0, 'arrival_time_fmt': '00:00', 'type': 'DEPOT'}, {'id': '263', 'lat': 31.2962884343801, 'lon': 121.4935690966168, 'arrival_time_min': 368, 'arrival_time_fmt': '06:08', 'type': 'STORE'}, {'id': '145', 'lat': 31.27882165963481, 'lon': 121.51750056445574, 'arrival_time_min': 394, 'arrival_time_fmt': '06:34', 'type': 'STORE'}, {'id': '847', 'lat': 31.270768523272285, 'lon': 121.54228398811973, 'arrival_time_min': 419, 'arrival_time_fmt': '06:59', 'type': 'STORE'}, {'id': '556', 'lat': 31.230290954483767, 'lon': 121.5634532575787, 'arrival_time_min': 449, 'arrival_time_fmt': '07:29', 'type': 'STORE'}, {'id': '555', 'lat': 31.17182346256999, 'lon': 121.59805434168723, 'arrival_time_min': 483, 'arrival_time_fmt': '08:03', 'type': 'STORE'}, {'id': '420', 'lat': 31.170615981847742, 'lon': 121.50227227855736, 'arrival_time_min': 521, 'arrival_time_fmt': '08:41', 'type': 'STORE'}, {'id': '197', 'lat': 31.21848841189639, 'lon': 121.48098401274221, 'arrival_time_min': 552, 'arrival_time_fmt': '09:12', 'type': 'STORE'}, {'id': 'WAREHOUSE', 'lat': 31.2304, 'lon': 121.4737, 'arrival_time_min': 575, 'arrival_time_fmt': '09:35', 'type': 'DEPOT'}]",41.592,7868,949.9104,98.4,575
28,Outbound,Large,"[{'id': 'WAREHOUSE', 'lat': 31.2304, 'lon': 121.4737, 'arrival_time_min': 0, 'arrival_time_fmt': '00:00', 'type': 'DEPOT'}, {'id': '517', 'lat': 31.231680504402977, 'lon': 121.4442004659937, 'arrival_time_min': 397, 'arrival_time_fmt': '06:37', 'type': 'STORE'}, {'id': '602', 'lat': 31.236303863765617, 'lon': 121.40734694083838, 'arrival_time_min': 424, 'arrival_time_fmt': '07:04', 'type': 'STORE'}, {'id': '134', 'lat': 31.237911118972644, 'lon': 121.38106206511073, 'arrival_time_min': 449, 'arrival_time_fmt': '07:29', 'type': 'STORE'}, {'id': '704', 'lat': 31.216256907303077, 'lon': 121.35589756909185, 'arrival_time_min': 475, 'arrival_time_fmt': '07:55', 'type': 'STORE'}, {'id': '577', 'lat': 31.214545708522802, 'lon': 121.40370073679698, 'arrival_time_min': 504, 'arrival_time_fmt': '08:24', 'type': 'STORE'}, {'id': '182', 'lat': 31.207439731824685, 'lon': 121.45201991405699, 'arrival_time_min': 533, 'arrival_time_fmt': '08:53', 'type': 'STORE'}, {'id': '343', 'lat': 31.198494088292254, 'lon': 121.47285294100276, 'arrival_time_min': 557, 'arrival_time_fmt': '09:17', 'type': 'STORE'}, {'id': 'WAREHOUSE', 'lat': 31.2304, 'lon': 121.4737, 'arrival_time_min': 584, 'arrival_time_fmt': '09:44', 'type': 'DEPOT'}]",27.224,7221,932.6688,90.3,584
29,Outbound,Large,"[{'id': 'WAREHOUSE', 'lat': 31.2304, 'lon': 121.4737, 'arrival_time_min': 0, 'arrival_time_fmt': '00:00', 'type': 'DEPOT'}, {'id': '554', 'lat': 31.28068408993369, 'lon': 121.45919038839173, 'arrival_time_min': 368, 'arrival_time_fmt': '06:08', 'type': 'STORE'}, {'id': '242', 'lat': 31.276897405342186, 'lon': 121.44596525694612, 'arrival_time_min': 413, 'arrival_time_fmt': '06:53', 'type': 'STORE'}, {'id': '18', 'lat': 31.2698220499117, 'lon': 121.41821952195781, 'arrival_time_min': 438, 'arrival_time_fmt': '07:18', 'type': 'STORE'}, {'id': '409', 'lat': 31.258528337762378, 'lon': 121.43846046154695, 'arrival_time_min': 462, 'arrival_time_fmt': '07:42', 'type': 'STORE'}, {'id': '235', 'lat': 31.244637293831047, 'lon': 121.4371312178521, 'arrival_time_min': 485, 'arrival_time_fmt': '08:05', 'type': 'STORE'}, {'id': '167', 'lat': 31.244352531751243, 'lon': 121.44355758117418, 'arrival_time_min': 506, 'arrival_time_fmt': '08:26', 'type': 'STORE'}, {'id': 'WAREHOUSE', 'lat': 31.2304, 'lon': 121.4737, 'arrival_time_min': 532, 'arrival_time_fmt': '08:52', 'type': 'DEPOT'}]",17.549,6755,921.0588,84.4,532
