P_lim,U_lim,Daily_Procurement_Cost,Daily_Distribution_Cost,Daily_Holding_Cost,Daily_Freshness_Penalty,Total_Daily_Cost,Strategy,Description,Crossdock_Time,Is_Next_Day,row_total,Daily_Procurement_Cost_pct,Daily_Distribution_Cost_pct,Daily_Holding_Cost_pct,Daily_Freshness_Penalty_pct
2,2,31907.09,4356.53,335.99,1969.95,38569.57,Hyper-Fresh,"High Cost, Max Freshness",6:00,True,38569.56,0.8272609280479217,0.1129525459974135,0.00871127386467463,0.05107525208999014
2,5,29145.36,1044.47,380.9,127.39,30698.12,Local-Batch,"Local Sourcing, Min Logistics",5:30,False,30698.120000000003,0.949418400866242,0.03402390765297679,0.012407925957680794,0.004149765523100437
3,3,30106.12,1580.02,243.38,266.15,32195.66,Balanced,Mid-range Sourcing,5:30,False,32195.670000000002,0.9350984154080346,0.04907554338828792,0.007559401621398156,0.008266639582279231
4,3,28772.74,1580.02,232.42,243.34,30828.52,Bulk-Farm,"Farm Sourcing, Optimized Logistics",5:30,False,30828.52,0.9333156440854119,0.051251892727902607,0.007539122864153063,0.007893340322532512
5,2,31351.76,2370.03,174.26,471.74,34367.8,JIT-Farm,"Farm Sourcing, High Frequency",5:30,False,34367.79,0.9122425387259407,0.06896079148528317,0.0050704453210404276,0.013726224467735632
